epoch,train_loss,train_cls_loss,train_density_loss,val_loss,val_accuracy,val_obo,val_nmae,val_rmse,score,count_threshold_ratio,count_threshold_floor,count_min_distance,count_prominence_ratio,lr,lambda_density
1,1.348196,1.348196,2.864936,1.360238,0.373333,0.0,0.0,3.673327,0.317333,0.45,0.05,18,0.08,0.000993874949446081,0.0
2,1.186926,1.186926,2.672708,1.02697,0.593333,0.06,0.0,3.08545,0.513333,0.45,0.05,18,0.08,0.0009756506168568389,0.0
3,1.065192,1.065192,2.958665,0.970125,0.653333,0.04,0.0,3.098387,0.561333,0.45,0.05,18,0.08,0.000945775745783713,0.0
4,1.039179,1.039179,2.807093,1.031483,0.646667,0.193333,0.0,2.715388,0.578667,0.45,0.05,18,0.08,0.0009049859547015363,0.0
5,1.025117,1.025117,2.676819,0.989635,0.673333,0.106667,0.0,3.024346,0.588333,0.45,0.1,18,0.08,0.0008542856236403073,0.0
6,0.938158,0.938158,2.511258,0.912709,0.653333,0.073333,0.0,2.985521,0.566333,0.45,0.05,18,0.08,0.0007949231630155054,0.0
7,0.885485,0.885485,2.656819,0.909593,0.66,0.046667,0.0,3.170699,0.568,0.45,0.05,18,0.08,0.0007283602736204245,0.0
8,0.921127,0.921127,2.488604,1.225872,0.506667,0.193333,0.0,2.664583,0.459667,0.45,0.05,18,0.08,0.0006562359547015364,0.0
9,0.890877,0.890877,2.675735,0.896412,0.68,0.113333,0.0,2.887906,0.595,0.45,0.05,18,0.08,0.0005803261463575149,0.0
10,0.83287,0.83287,2.703967,0.91542,0.68,0.106667,0.0,2.83196,0.594,0.45,0.05,18,0.08,0.0005025,0.0
11,0.84445,0.84445,2.590305,0.960676,0.666667,0.166667,0.0,2.745906,0.591667,0.45,0.05,18,0.08,0.0004246738536424853,0.0
12,0.867573,0.867573,2.507532,0.896919,0.7,0.1,0.0,2.818983,0.61,0.45,0.05,18,0.08,0.0003487640452984637,0.0
13,0.794075,0.794075,2.474887,0.920012,0.673333,0.113333,0.0,2.87634,0.589333,0.45,0.05,18,0.08,0.0002766397263795755,0.0
14,0.800761,0.78201,1.125054,0.962068,0.68,0.353333,0.0,2.152518,0.631,0.45,0.2,18,0.08,0.0002100768369844947,0.016667
15,0.7362,0.732406,0.113828,0.905557,0.68,0.953333,0.0,0.996661,0.721,0.2,0.2,18,0.05,0.00015071437635969266,0.033333
16,0.728538,0.726936,0.032054,0.909243,0.68,0.98,0.0,0.898146,0.725,0.2,0.2,6,0.03,0.00010001404529846369,0.05
17,0.7115,0.710292,0.018119,0.917427,0.666667,0.993333,0.0,0.890693,0.715667,0.2,0.15,18,0.03,5.9224254216287026e-05,0.066667
18,0.716226,0.71516,0.012787,0.923577,0.666667,0.98,0.0,0.856349,0.713667,0.2,0.05,18,0.03,2.934938314316112e-05,0.083333
19,0.719462,0.71827,0.011919,0.911516,0.666667,0.986667,0.0,0.844591,0.714667,0.2,0.15,18,0.08,1.1125050553919015e-05,0.1
20,0.69823,0.696876,0.011611,0.914377,0.666667,0.966667,0.0,0.886942,0.711667,0.2,0.1,18,0.03,0.001,0.116667
21,0.812678,0.811525,0.008644,1.321806,0.493333,0.986667,0.0,0.83666,0.567333,0.2,0.05,18,0.03,0.0009984663735322313,0.133333
22,0.907147,0.906931,0.001438,0.879708,0.686667,0.973333,0.0,0.844591,0.729667,0.2,0.05,18,0.08,0.000993874949446081,0.15
23,0.805301,0.805178,0.000739,0.858342,0.7,0.96,0.0,0.909212,0.739,0.2,0.05,18,0.03,0.0009862540353978442,0.166667
24,0.808938,0.808829,0.000594,0.931176,0.686667,0.96,0.0,0.94163,0.727667,0.2,0.05,18,0.03,0.0009756506168568389,0.183333
25,0.778766,0.778687,0.000392,0.928541,0.646667,0.98,0.0,0.856349,0.696667,0.2,0.05,18,0.03,0.0009621300674243652,0.2
26,0.72445,0.724387,0.000317,0.99282,0.646667,0.973333,0.0,0.832666,0.695667,0.2,0.05,18,0.03,0.000945775745783713,0.2
27,0.777036,0.776984,0.000265,0.920161,0.646667,0.94,0.0,1.03923,0.690667,0.2,0.05,18,0.03,0.0009266884817661609,0.2
28,0.681573,0.681517,0.00028,0.932135,0.653333,0.96,0.0,0.986577,0.699333,0.2,0.05,18,0.05,0.0009049859547015363,0.2
29,0.681997,0.681969,0.000139,0.8353,0.72,0.96,0.0,0.983192,0.756,0.2,0.05,18,0.03,0.0008808019678860154,0.2
30,0.713884,0.713857,0.000136,0.913807,0.68,0.98,0.0,0.972968,0.725,0.2,0.05,18,0.05,0.0008542856236403073,0.2
